index,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
93,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Cashewnut,81,33
94,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Coconut ,7015,25250000
95,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Dry ginger,344,1124
96,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sugarcane,81,2379
97,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year ,Sweet potato,100,5
98,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Kharif     ,Rice,6854.3,18995.62
99,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Arecanut,1160,3011.7
100,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Banana,957.57,8582
101,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Black pepper,175,191.14
102,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Cashewnut,40.5,44
103,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Coconut ,3575,15400000
104,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry chillies,235.72,824.3
105,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Dry ginger,98.66,929
106,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,other oilseeds,35.62,21.4
107,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sugarcane,71.3,1500
108,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Sweet potato,30,240
109,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Tapioca,255,1420
110,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year ,Turmeric,68,408
111,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Rice,6791,20118
112,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn     ,Sugarcane,73.33,889.2
113,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Arecanut,1296,2290
114,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Arhar/Tur,294.5,90.8
115,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Black pepper,168,13.5
116,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Cashewnut,84.5,39
117,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Dry chillies,254,402
118,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Dry ginger,110,1011.84
119,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Groundnut,4.75,6.8
120,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Maize,86.7,96.4
121,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Moong(Green Gram),1168.6,556.55
122,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sunflower,2.9,1.9
123,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Sweet potato,109,480
124,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Turmeric,68,376.5
125,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Rabi       ,Urad,1059.5,458.79
126,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Banana,657,7968
127,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Coconut ,3668,12700000
128,Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Whole Year ,Tapioca,186.5,1355
129,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Kharif     ,Rice,10695.8,31600.82
130,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Arecanut,3105,5267
131,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Banana,1524,10882
132,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Black pepper,487,102.5
133,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Cashewnut,81,24
134,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Coconut ,7060,26830000
135,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Dry chillies,239,20.9
136,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Dry ginger,352,1145
137,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,other oilseeds,85.1,40.31
138,Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year ,Sugarcane,455,13760
139,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Kharif     ,Rice,10509.37,30760.7
140,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Arecanut,3118,5182
141,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Banana,1530,11558
142,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Black pepper,497,104.37
143,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Cashewnut,116.5,26.14
144,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Coconut ,7110,26660000
145,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Dry chillies,340,578
146,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Dry ginger,406,1299.2
147,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,other oilseeds,82.09,35.51
148,Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year ,Sugarcane,268,2879.52
149,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Kharif     ,Rice,10681.98,29119.66
150,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Arecanut,3160.67,3975.2
151,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Banana,1912.1,17374.4
152,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Black pepper,570,104.36
153,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Cashewnut,116.5,25.1
154,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Coconut ,7156.7,34750000
155,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Dry chillies,340,822.8
156,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Dry ginger,410,1462
157,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,other oilseeds,89.3,46.5
158,Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year ,Sugarcane,145.26,1560
159,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Kharif     ,Rice,8683.38,25870.98
160,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Arecanut,3250.78,3058.46
161,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Banana,1656.8,10251.13
162,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Black pepper,656.45,35.95
163,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Cashewnut,118.5,30.22
164,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Coconut ,7050.45,26430000
165,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Dry chillies,370.7,877.6
166,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Dry ginger,200,1800
167,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,other oilseeds,53.55,34.2
168,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sugarcane,128.02,2448.2
169,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Sweet potato,131.9,700.35
170,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Tapioca,254.5,1480
171,Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year ,Turmeric,81.7,572
172,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Kharif     ,Rice,921.87,2539.64
173,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Arecanut,2000,2350
174,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Banana,483,4150
175,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Black pepper,413.1,20.18
176,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Cashewnut,79.5,26
177,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Coconut ,3483.09,14190000
178,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry chillies,124.6,34.7
179,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Dry ginger,100.9,900
180,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,other oilseeds,24,14.98
181,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sugarcane,53.5,999.5
182,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Sweet potato,30.4,220
183,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Tapioca,40,160
184,Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year ,Turmeric,10,60
185,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Rice,1595.5,3788
186,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn     ,Sugarcane,67.5,402
187,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Arecanut,1912,1900
188,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Arhar/Tur,20.5,13.2
189,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Black pepper,409,98
190,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Cashewnut,15,10.5
191,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Dry chillies,128,148
192,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Dry ginger,94,828.52
193,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Groundnut,15.5,7.6
194,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Maize,73,253
195,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Moong(Green Gram),29.9,17.85
196,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sunflower,1,0.5
197,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Sweet potato,32,235
198,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Turmeric,10,105
199,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Rabi       ,Urad,34,15.05
200,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Banana,360,5517
201,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Coconut ,3540,11000000
202,Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Whole Year ,Tapioca,22.5,220
203,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Arhar/Tur,21400,2600
204,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Bajra,1400,500
205,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Castor seed,1000,100
206,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Cotton(lint),7300,9400
207,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Dry chillies,3700,7100
208,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Groundnut,650800,228400
209,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Horse-gram,3300,1000
210,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Jowar,10100,10200
211,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Korra,2200,700
212,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Maize,2800,4900
213,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Moong(Green Gram),1300,500
214,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Other Kharif pulses,800,100
215,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Ragi,6700,11800
216,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600,75400
217,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sugarcane,700,72900
218,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sunflower,35900,11100
219,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Tobacco,200,200
220,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Dry chillies,100,100
221,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Gram,28000,14800
222,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Groundnut,20200,21700
223,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Horse-gram,600,200
224,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Jowar,18800,9400
225,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Korra,100,100
226,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Maize,600,2400
227,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Ragi,600,1000
228,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Rice,18000,37300
229,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Sunflower,30100,11100
230,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Wheat,300,200
231,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Arhar/Tur,27400,9100
232,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Bajra,2600,1900
233,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Castor seed,3200,1000
234,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Cotton(lint),14000,12900
235,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Dry chillies,4000,10000
236,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Groundnut,755200,867800
237,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Horse-gram,2300,900
238,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Jowar,3700,5800
239,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Korra,4600,3400
240,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Maize,3300,6700
241,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Moong(Green Gram),2100,1300
242,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Other Kharif pulses,2000,300
243,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Ragi,7000,14900
244,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Rice,38300,96800
245,Andhra Pradesh,ANANTAPUR,1998,Kharif     ,Sunflower,21300,12200
246,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Dry chillies,200,200
247,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Gram,26200,25900
248,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Groundnut,25900,35800
249,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Horse-gram,700,500
250,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Jowar,14800,22100
251,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Maize,300,1600
252,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Ragi,700,1200
253,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Rice,26600,63900
254,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Sunflower,13500,3300
255,Andhra Pradesh,ANANTAPUR,1998,Rabi       ,Wheat,400,200
256,Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Sugarcane,700,65900
257,Andhra Pradesh,ANANTAPUR,1998,Whole Year ,Tobacco,100,100
258,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Bajra,1635,889
259,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Castor seed,1880,355
260,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Cotton(lint),9453,10510
261,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Groundnut,694865,249457
262,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Horse-gram,1762,495
263,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Jowar,11131,14582
264,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Maize,3358,9540
265,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Masoor,23117,3861
266,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Moong(Green Gram),1546,1098
267,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Ragi,6215,11467
268,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Rice,37991,105082
269,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Sesamum,8,2
270,Andhra Pradesh,ANANTAPUR,1999,Kharif     ,Urad,4,2
271,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Bajra,99,54
272,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Gram,26835,9365
273,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Groundnut,21785,25358
274,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Horse-gram,1071,327
275,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Jowar,21487,30576
276,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Linseed,12,1
277,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Maize,455,2203
278,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Masoor,98,10
279,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Moong(Green Gram),1,1
280,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Ragi,734,1180
281,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Rice,20258,45669
282,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Safflower,881,145
283,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Sesamum,10,2
284,Andhra Pradesh,ANANTAPUR,1999,Rabi       ,Wheat,439,294
285,Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Dry chillies,5199,5759
286,Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Onion,1770,32364
287,Andhra Pradesh,ANANTAPUR,1999,Whole Year ,Sugarcane,884,83126
